대륙,국적,성별,D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),기타(Other)
남아메리카주,베네수엘라,남성,0,6,0,1,0,0,0,2,2,0,0,0,1,0,2,7,3,0,0,0,3,2,5,0,7,3,0,0,5
남아메리카주,베네수엘라,여성,0,15,0,7,0,0,0,0,1,0,1,2,0,0,0,2,10,0,0,0,5,4,5,1,40,9,0,0,7
남아메리카주,아이티,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,105,0,0,2
남아메리카주,아이티,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1
남아메리카주,코스타리카,남성,0,4,0,2,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,5,0,0,0,5
남아메리카주,코스타리카,여성,0,7,0,8,0,6,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,1,2,1,18,0,0,0,5
남아메리카주,볼리비아,남성,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,2,0,1,2,3,0,0,5
남아메리카주,볼리비아,여성,0,13,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,2,0,1,18,1,0,0,4
남아메리카주,도미니카공화국,남성,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,3,0,0,0,5,1,0,0,6
남아메리카주,도미니카공화국,여성,0,12,1,10,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,3,2,2,3,2,0,0,8
남아메리카주,파라과이,남성,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,1,4,0,0,0,1
남아메리카주,파라과이,여성,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,3,23,0,0,0,3
남아메리카주,과테말라,남성,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,6,6,0,4,4,1,0,0,3
남아메리카주,과테말라,여성,0,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,5,11,0,0,0,3
남아메리카주,파나마,남성,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,1,3,0,0,0,9
남아메리카주,파나마,여성,0,15,0,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,0,8,0,0,0,7
남아메리카주,엘살바도르,남성,0,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,1,1,2,0,0,0,3
남아메리카주,엘살바도르,여성,0,14,0,5,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,1,1,13,0,0,0,1
남아메리카주,온두라스,남성,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,3,3,3,0,0,0,4
남아메리카주,온두라스,여성,0,8,0,5,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,3,1,2,0,10,0,0,0,4
남아메리카주,쿠바,남성,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,3,0,11,0,0,0,1
남아메리카주,쿠바,여성,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,3,0,8,0,0,0,0
남아메리카주,니카라과,남성,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
남아메리카주,니카라과,여성,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,1,0,0,2
남아메리카주,우루과이,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3
남아메리카주,우루과이,여성,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,10,0,0,0,6
남아메리카주,자메이카,남성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,3,1,0,0,1
남아메리카주,자메이카,여성,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,1,0,0,0,2
남아메리카주,트리니다드토바고,남성,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
남아메리카주,트리니다드토바고,여성,0,4,0,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3
남아메리카주,도미니카연방,남성,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0
남아메리카주,도미니카연방,여성,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0
남아메리카주,가이아나,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
남아메리카주,가이아나,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5
남아메리카주,바하마,남성,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바하마,여성,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남아메리카주,세인트크리스토퍼네비스,남성,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
남아메리카주,세인트크리스토퍼네비스,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남아메리카주,앤티카바부다,남성,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
남아메리카주,앤티카바부다,여성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,벨리즈,남성,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,벨리즈,여성,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바베이도스,여성,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,그레나다,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
남아메리카주,세인트빈센트그레나딘,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,세인트빈센트그레나딘,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트루시아,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트루시아,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
유럽주,러시아(연방),남성,1,233,0,171,1,9,30,133,52,26,16,1,51,2,14,75,136,0,5,0,1826,293,488,194,141,6808,0,0,396
유럽주,러시아(연방),여성,0,1165,0,829,1,3,0,29,3,106,17,13,5,0,0,169,84,0,11,0,2404,495,778,526,1922,2446,0,0,342
유럽주,프랑스,남성,2,722,0,100,6,6,17,135,114,15,22,6,15,4,6,37,199,0,0,0,22,103,121,128,553,1,229,0,117
유럽주,프랑스,여성,4,872,0,229,3,3,2,29,6,37,5,21,6,0,1,43,140,0,0,0,5,76,170,31,304,4,563,0,80
유럽주,영국,남성,0,83,0,15,3,6,18,68,53,19,68,683,17,17,9,24,234,0,0,0,35,129,108,207,1017,1,37,0,97
유럽주,영국,여성,0,228,0,31,3,2,1,6,4,21,11,1054,1,0,0,15,161,0,0,0,24,88,118,47,246,2,58,0,75
유럽주,독일,남성,0,415,0,20,1,9,15,159,29,10,55,7,21,2,8,15,87,0,0,0,22,39,68,124,301,1,49,0,63
유럽주,독일,여성,0,699,0,73,1,9,4,8,0,18,6,10,7,0,0,28,55,0,0,0,7,49,120,53,157,0,196,0,94
유럽주,우크라이나,남성,0,24,0,2,0,2,3,1,37,2,0,0,11,1,0,32,24,0,1,0,341,32,77,83,30,61,0,173,23
유럽주,우크라이나,여성,0,104,0,119,0,0,0,3,1,18,1,1,3,0,0,91,14,0,0,0,478,51,111,58,230,179,0,275,33
유럽주,한국계러시아인,남성,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,287,30,52,850,13,0,0,4,2
유럽주,한국계러시아인,여성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,33,47,667,84,1,0,1,2
유럽주,이탈리아,남성,0,85,0,15,0,10,11,36,36,2,6,1,6,0,10,15,34,0,0,0,7,25,20,24,146,0,18,0,34
유럽주,이탈리아,여성,0,256,0,98,0,5,0,6,3,13,1,2,1,0,0,14,33,0,0,0,3,36,44,15,94,0,94,0,32
유럽주,스페인,남성,2,129,0,8,1,9,3,22,7,4,7,8,11,1,4,25,39,0,0,0,5,15,34,15,120,0,20,0,42
유럽주,스페인,여성,0,217,0,51,0,5,0,5,1,12,2,12,2,0,0,16,30,0,0,0,2,9,43,7,114,0,98,0,37
유럽주,네덜란드,남성,1,128,0,3,0,1,2,21,5,7,3,0,7,8,5,9,33,0,0,0,8,15,21,18,95,0,11,0,32
유럽주,네덜란드,여성,0,159,0,16,0,1,1,1,0,2,0,0,0,0,0,13,8,0,0,0,2,6,31,4,40,1,30,0,17
유럽주,폴란드,남성,1,63,0,4,0,11,0,12,27,2,4,0,6,0,1,9,11,0,0,0,4,7,5,7,42,0,4,0,25
유럽주,폴란드,여성,0,102,0,23,1,7,1,2,0,2,1,0,4,0,0,18,9,0,0,0,5,15,14,9,130,1,44,0,21
유럽주,아일랜드,남성,0,19,0,0,0,6,1,7,6,2,14,84,0,1,1,3,26,0,0,0,0,19,13,25,144,0,1,0,8
유럽주,아일랜드,여성,0,22,0,4,0,0,0,0,0,1,3,115,0,0,0,1,13,0,0,0,0,6,13,2,24,0,1,0,8
유럽주,스웨덴,남성,0,72,0,7,0,1,0,22,1,4,4,0,5,3,0,5,18,0,0,0,1,12,10,9,65,0,12,0,21
유럽주,스웨덴,여성,0,107,0,23,0,0,0,5,0,8,0,0,0,0,0,4,11,0,0,0,3,6,18,9,38,0,30,0,16
유럽주,벨기에,남성,0,42,0,2,0,0,5,14,10,1,7,0,0,4,5,5,10,0,0,0,2,5,18,13,44,1,15,0,20
유럽주,벨기에,여성,0,79,0,19,0,2,0,1,1,3,1,0,0,1,0,14,5,0,0,0,0,7,26,5,34,0,32,0,19
유럽주,아제르바이잔,남성,0,131,0,8,0,0,0,11,1,1,1,0,2,0,0,2,7,0,0,0,8,8,8,13,4,5,0,0,18
유럽주,아제르바이잔,여성,0,100,0,33,0,0,0,2,0,4,0,0,0,0,0,1,5,0,0,0,8,12,16,7,19,1,0,0,17
유럽주,덴마크,남성,0,60,0,3,0,0,1,36,14,2,1,0,2,1,1,1,13,0,0,0,1,2,21,4,30,1,10,0,24
유럽주,덴마크,여성,0,67,0,7,0,3,0,2,0,1,0,0,0,1,0,1,4,0,0,0,3,2,28,1,13,0,12,0,21
유럽주,스위스,남성,0,74,0,3,0,0,0,9,0,3,1,0,0,0,3,1,12,0,0,0,5,9,8,8,55,0,0,0,22
유럽주,스위스,여성,0,69,0,23,0,0,1,2,0,1,1,0,1,0,0,1,5,0,0,0,0,5,17,6,25,0,0,0,9
유럽주,벨라루스,남성,0,6,0,1,0,0,0,1,8,0,0,0,7,0,0,10,5,0,0,0,4,3,4,12,8,2,0,0,10
유럽주,벨라루스,여성,0,56,0,32,0,0,0,0,0,4,1,0,2,0,0,21,5,0,0,0,15,9,16,11,73,5,0,0,11
유럽주,루마니아,남성,0,16,0,1,0,0,1,1,35,0,3,0,1,0,0,3,4,0,0,0,3,2,8,8,12,1,0,0,15
유럽주,루마니아,여성,0,41,0,9,0,0,0,3,3,7,2,0,1,0,0,0,9,0,0,0,5,5,14,11,56,0,0,0,12
유럽주,노르웨이,남성,0,22,0,4,0,0,0,21,17,1,2,0,0,1,0,1,8,0,0,0,1,4,10,2,25,0,0,0,14
유럽주,노르웨이,여성,0,79,0,11,0,0,0,1,2,3,0,0,0,0,0,2,2,0,0,0,1,3,22,2,11,0,0,0,14
유럽주,핀란드,남성,0,31,0,2,0,1,0,5,7,1,1,0,1,0,1,3,6,0,0,0,1,4,3,6,23,0,0,0,7
유럽주,핀란드,여성,0,77,0,9,0,2,1,1,0,5,0,0,0,0,0,0,4,0,0,0,2,6,4,4,26,0,0,0,6
유럽주,헝가리,남성,0,24,0,1,0,0,2,2,2,0,1,0,2,0,0,2,2,0,0,0,1,0,5,1,13,0,3,0,10
유럽주,헝가리,여성,0,50,0,13,0,1,0,1,0,4,2,0,0,0,0,6,2,0,0,0,0,8,6,7,48,1,16,0,9
유럽주,오스트리아,남성,0,19,0,3,0,2,3,8,3,1,3,0,0,3,3,3,7,0,0,0,1,4,0,14,23,0,1,0,11
유럽주,오스트리아,여성,0,40,0,6,0,2,0,1,0,4,0,0,0,0,0,3,4,0,0,0,0,1,5,11,18,0,18,0,12
유럽주,포르투갈,남성,0,14,0,3,0,0,0,13,1,2,0,0,3,1,1,13,7,0,0,0,1,4,5,2,20,0,9,0,4
유럽주,포르투갈,여성,0,34,0,6,0,1,0,1,0,0,1,1,1,0,0,1,2,0,0,0,1,3,10,0,26,0,13,0,11
유럽주,그리스,남성,0,5,0,2,0,1,3,1,51,0,4,0,5,2,2,1,9,0,0,0,0,2,8,5,15,1,0,0,9
유럽주,그리스,여성,0,21,0,8,0,1,1,2,0,2,0,0,2,0,0,1,3,0,0,0,0,2,17,0,19,0,0,0,5
유럽주,체코,남성,0,25,0,2,0,0,0,4,2,0,1,0,2,0,6,2,2,0,0,0,0,3,0,3,9,0,3,0,10
유럽주,체코,여성,1,40,0,4,0,1,0,0,0,4,1,0,0,0,0,3,2,0,0,0,2,5,1,1,17,0,6,0,7
유럽주,불가리아,남성,0,8,0,5,0,0,0,1,4,1,2,0,0,1,0,3,6,0,0,0,1,3,1,3,10,0,0,0,7
유럽주,불가리아,여성,0,28,0,14,0,0,0,0,0,5,0,0,1,0,0,2,3,0,0,0,2,5,10,7,23,0,0,0,3
유럽주,리투아니아,남성,0,26,0,1,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,3,0,3,5,0,0,0,11
유럽주,리투아니아,여성,0,49,0,6,0,1,0,0,0,1,0,0,0,0,0,3,4,0,0,0,0,2,3,1,17,0,0,0,11
유럽주,조지아,남성,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,8,0,0,0,0,2,1,1,1,0,1,0,0,9
유럽주,조지아,여성,0,25,0,13,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,1,8,0,1,16,5,0,0,13
유럽주,아르메니아,남성,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,4,8,2,1,0,0,0
유럽주,아르메니아,여성,0,29,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,9,3,2,8,0,0,0,0
유럽주,라트비아,남성,0,5,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,1,0,0,3
유럽주,라트비아,여성,0,20,0,4,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,6,2,17,3,0,0,6
유럽주,크로아티아,남성,0,4,0,0,0,1,0,1,13,0,0,0,0,0,0,3,5,0,0,0,0,0,2,2,8,0,0,0,4
유럽주,크로아티아,여성,0,10,0,2,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,3,7,4,9,0,0,0,1
유럽주,영국외지민,남성,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,2,0,2,8,0,0,0,0
유럽주,영국외지민,여성,0,9,0,2,0,0,0,0,1,1,0,0,0,0,0,2,6,0,0,0,1,2,1,5,30,0,0,0,0
유럽주,세르비아,남성,0,5,0,2,0,0,0,0,2,1,0,0,0,1,1,4,1,0,0,0,0,1,2,1,7,0,0,0,5
유럽주,세르비아,여성,0,15,0,5,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,4,7,1,5,0,0,0,2
유럽주,슬로바크,남성,0,7,0,0,0,1,0,1,0,1,1,0,0,0,1,2,1,0,0,0,0,3,0,0,4,0,0,0,9
유럽주,슬로바크,여성,0,16,0,6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3,0,0,8,0,0,0,8
유럽주,몰도바,남성,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,4,0,2,3,0,5,0,0,0
유럽주,몰도바,여성,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,1,2,1,15,0,0,0,1
유럽주,에스토니아,남성,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
유럽주,에스토니아,여성,0,17,0,6,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,2,0,1,8,0,0,0,4
유럽주,슬로베니아,남성,0,2,0,0,1,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,8,0,0,0,7
유럽주,슬로베니아,여성,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,6
유럽주,룩셈부르크,남성,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,7,0,1,0,0,0,4
유럽주,룩셈부르크,여성,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,11,0,1,0,0,0,0
유럽주,알바니아,남성,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0
유럽주,알바니아,여성,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,5,0,0,0,3
유럽주,북마케도니아,남성,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3
유럽주,북마케도니아,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
유럽주,아이슬란드,남성,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
유럽주,아이슬란드,여성,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
유럽주,보스니아-헤르체고비나,남성,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
유럽주,보스니아-헤르체고비나,여성,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
유럽주,몬테네그로,남성,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
