년,유형,국적,건수
2011,귀화,방글라데시,23
2011,귀화,미얀마,8
2011,귀화,캄보디아,488
2011,귀화,스리랑카,2
2011,귀화,중국,3219
2011,귀화,타이완,240
2011,귀화,홍콩,1
2011,귀화,한국계중국인,7730
2011,귀화,인도,3
2011,귀화,인도네시아,15
2011,귀화,이란,8
2011,귀화,이라크,1
2011,귀화,일본,45
2011,귀화,요르단,1
2011,귀화,카자흐스탄,12
2011,귀화,키르기스스탄,21
2011,귀화,말레이시아,1
2011,귀화,몽골,158
2011,귀화,네팔,12
2011,귀화,파키스탄,37
2011,귀화,필리핀,496
2011,귀화,태국,44
2011,귀화,투르크메니스탄,1
2011,귀화,우즈베키스탄,72
2011,귀화,베트남,3091
2011,귀화,미국,7
2011,귀화,아르헨티나,1
2011,귀화,콜롬비아,1
2011,귀화,과테말라,1
2011,귀화,멕시코,4
2011,귀화,니카라과,1
2011,귀화,파라과이,2
2011,귀화,페루,11
2011,귀화,벨로루시,2
2011,귀화,한국계러시아인,65
2011,귀화,루마니아,1
2011,귀화,러시아연방,246
2011,귀화,스위스,1
2011,귀화,우크라이나,2
2011,귀화,피지,1
2011,귀화,이집트,3
2011,귀화,에티오피아,1
2011,귀화,가나,1
2011,귀화,라이베리아,1
2011,귀화,모로코,3
2011,귀화,남아프리카공화국,1
2011,귀화,튀니지,1
2011,귀화,무국적,4
2011,국적회복,캄보디아,19
2011,국적회복,스리랑카,3
2011,국적회복,중국,80
2011,국적회복,타이완,62
2011,국적회복,홍콩,1
2011,국적회복,한국계중국인,573
2011,국적회복,인도네시아,3
2011,국적회복,이란,5
2011,국적회복,이스라엘,1
2011,국적회복,일본,39
2011,국적회복,카자흐스탄,3
2011,국적회복,키르기스스탄,5
2011,국적회복,라오스,1
2011,국적회복,말레이시아,2
2011,국적회복,몽골,17
2011,국적회복,네팔,1
2011,국적회복,필리핀,21
2011,국적회복,태국,23
2011,국적회복,우즈베키스탄,30
2011,국적회복,베트남,178
2011,국적회복,캐나다,100
2011,국적회복,미국,925
2011,국적회복,아르헨티나,12
2011,국적회복,볼리비아,2
2011,국적회복,브라질,7
2011,국적회복,도미니카공화국,1
2011,국적회복,에콰도르,1
2011,국적회복,온두라스,1
2011,국적회복,파라과이,6
2011,국적회복,베네수엘라,1
2011,국적회복,영국,5
2011,국적회복,프랑스,6
2011,국적회복,한국계러시아인,5
2011,국적회복,독일,38
2011,국적회복,그리스,2
2011,국적회복,이탈리아,1
2011,국적회복,네덜란드,3
2011,국적회복,루마니아,1
2011,국적회복,러시아연방,8
2011,국적회복,스웨덴,3
2011,국적회복,스위스,3
2011,국적회복,오스트레일리아,34
2011,국적회복,피지,6
2011,국적회복,뉴질랜드,15
2011,국적회복,모로코,1
2011,국적회복,탄자니아,1
2011,국적회복,무국적,8
2011,국적회복,기타,2
2012,귀화,방글라데시,14
2012,귀화,미얀마,5
2012,귀화,캄보디아,359
2012,귀화,스리랑카,4
2012,귀화,중국,1964
2012,귀화,한국계중국인,4217
2012,귀화,타이완,194
2012,귀화,인도,3
2012,귀화,인도네시아,7
2012,귀화,이란,3
2012,귀화,일본,24
2012,귀화,카자흐스탄,10
2012,귀화,키르기스스탄,16
2012,귀화,라오스,1
2012,귀화,몽골,106
2012,귀화,네팔,32
2012,귀화,파키스탄,17
2012,귀화,팔레스타인,1
2012,귀화,필리핀,332
2012,귀화,태국,59
2012,귀화,터키,2
2012,귀화,우즈베키스탄,70
2012,귀화,베트남,2964
2012,귀화,예멘공화국,1
2012,귀화,미국,9
2012,귀화,볼리비아,1
2012,귀화,도미니카공화국,1
2012,귀화,엘살바도르,1
2012,귀화,페루,5
2012,귀화,우루과이,2
2012,귀화,아르메니아,1
2012,귀화,아제르바이잔,1
2012,귀화,불가리아,1
2012,귀화,몰도바,1
2012,귀화,네덜란드,1
2012,귀화,러시아연방,42
2012,귀화,한국계러시아인,55
2012,귀화,우크라이나,2
2012,귀화,오스트레일리아,1
2012,귀화,앙골라,1
2012,귀화,이집트,1
2012,귀화,에티오피아,3
2012,귀화,모로코,2
2012,귀화,튀니지,1
2012,귀화,무국적,3
2012,국적회복,캄보디아,3
2012,국적회복,중국,11
2012,국적회복,한국계중국인,90
2012,국적회복,타이완,30
2012,국적회복,인도네시아,2
2012,국적회복,이란,8
2012,국적회복,일본,33
2012,국적회복,카자흐스탄,2
2012,국적회복,키르기스스탄,5
2012,국적회복,몽골,4
2012,국적회복,네팔,2
2012,국적회복,필리핀,7
2012,국적회복,싱가포르,1
2012,국적회복,태국,13
2012,국적회복,우즈베키스탄,5
2012,국적회복,베트남,47
2012,국적회복,미국,1405
2012,국적회복,캐나다,158
2012,국적회복,아르헨티나,16
2012,국적회복,벨리즈,1
2012,국적회복,브라질,10
2012,국적회복,과테말라,1
2012,국적회복,파라과이,7
2012,국적회복,페루,1
2012,국적회복,베네수엘라,1
2012,국적회복,오스트리아,2
2012,국적회복,벨기에,1
2012,국적회복,덴마크,1
2012,국적회복,영국,5
2012,국적회복,프랑스,9
2012,국적회복,독일,21
2012,국적회복,이탈리아,1
2012,국적회복,네덜란드,3
2012,국적회복,노르웨이,2
2012,국적회복,러시아연방,2
2012,국적회복,스페인,2
2012,국적회복,스웨덴,4
2012,국적회복,스위스,1
2012,국적회복,오스트레일리아,52
2012,국적회복,피지,2
2012,국적회복,뉴질랜드,6
2012,국적회복,케냐,1
2012,국적회복,남아프리카공화국,1
2012,국적회복,무국적,8
2013,귀화,방글라데시,22
2013,귀화,미얀마,6
2013,귀화,캄보디아,501
2013,귀화,스리랑카,5
2013,귀화,중국,1473
2013,귀화,한국계중국인,3907
2013,귀화,타이완,243
2013,귀화,홍콩,3
2013,귀화,인도,2
2013,귀화,인도네시아,4
2013,귀화,이란,13
2013,귀화,이라크,2
2013,귀화,일본,40
2013,귀화,요르단,1
2013,귀화,카자흐스탄,6
2013,귀화,키르기스스탄,20
2013,귀화,라오스,2
2013,귀화,몽골,112
2013,귀화,네팔,60
2013,귀화,파키스탄,33
2013,귀화,필리핀,524
2013,귀화,타지키스탄,1
2013,귀화,태국,79
2013,귀화,터키,1
2013,귀화,우즈베키스탄,90
2013,귀화,베트남,3952
2013,귀화,캐나다,3
2013,귀화,미국,3
2013,귀화,볼리비아,1
2013,귀화,엘살바도르,2
2013,귀화,과테말라,1
2013,귀화,멕시코,3
2013,귀화,페루,6
2013,귀화,아르메니아,2
2013,귀화,불가리아,1
2013,귀화,영국,1
2013,귀화,프랑스,1
2013,귀화,헝가리,1
2013,귀화,폴란드,1
2013,귀화,루마니아,2
2013,귀화,러시아연방,82
2013,귀화,한국계러시아인,39
2013,귀화,우크라이나,3
2013,귀화,오스트레일리아,2
2013,귀화,뉴질랜드,1
2013,귀화,콩고민주공화국,1
2013,귀화,이집트,1
2013,귀화,에티오피아,1
2013,귀화,모로코,4
2013,귀화,나이지리아,1
2013,귀화,우간다,1
2013,귀화,무국적,4
2013,국적회복,캄보디아,8
2013,국적회복,중국,109
2013,국적회복,한국계중국인,312
2013,국적회복,타이완,31
2013,국적회복,홍콩,1
2013,국적회복,인도네시아,5
2013,국적회복,이란,10
2013,국적회복,일본,44
2013,국적회복,키르기스스탄,3
2013,국적회복,몽골,11
2013,국적회복,필리핀,8
2013,국적회복,싱가포르,1
2013,국적회복,타지키스탄,1
2013,국적회복,태국,12
2013,국적회복,터키,1
2013,국적회복,우즈베키스탄,20
2013,국적회복,베트남,82
2013,국적회복,캐나다,223
2013,국적회복,미국,1584
2013,국적회복,아르헨티나,16
2013,국적회복,볼리비아,2
2013,국적회복,브라질,14
2013,국적회복,칠레,1
2013,국적회복,코스타리카,1
2013,국적회복,에콰도르,2
2013,국적회복,온두라스,1
2013,국적회복,파나마,1
2013,국적회복,파라과이,6
2013,국적회복,페루,1
2013,국적회복,우루과이,1
2013,국적회복,베네수엘라,1
2013,국적회복,오스트리아,1
2013,국적회복,벨기에,2
2013,국적회복,영국,1
2013,국적회복,프랑스,4
2013,국적회복,그루지야,1
2013,국적회복,독일,24
2013,국적회복,그리스,1
2013,국적회복,이탈리아,2
2013,국적회복,네덜란드,1
2013,국적회복,노르웨이,2
2013,국적회복,러시아연방,1
2013,국적회복,한국계러시아인,3
2013,국적회복,스페인,2
2013,국적회복,스웨덴,3
2013,국적회복,우크라이나,1
2013,국적회복,오스트레일리아,85
2013,국적회복,피지,4
2013,국적회복,뉴질랜드,21
2013,국적회복,사모아,1
2013,국적회복,바누아투,1
2013,국적회복,남아프리카공화국,2
2013,국적회복,무국적,10
2014,귀화,아프가니스탄,1
2014,귀화,방글라데시,31
2014,귀화,미얀마,8
2014,귀화,캄보디아,401
2014,귀화,스리랑카,3
2014,귀화,중국,1798
2014,귀화,한국계중국인,4852
2014,귀화,타이완,231
2014,귀화,홍콩,4
2014,귀화,인도,18
2014,귀화,인도네시아,8
2014,귀화,이란,6
2014,귀화,일본,30
2014,귀화,카자흐스탄,13
2014,귀화,키르기스스탄,24
2014,귀화,라오스,4
2014,귀화,몽골,120
2014,귀화,네팔,66
2014,귀화,파키스탄,39
2014,귀화,필리핀,392
2014,귀화,태국,71
2014,귀화,터키,4
2014,귀화,우즈베키스탄,80
2014,귀화,베트남,2977
2014,귀화,캐나다,4
2014,귀화,미국,10
2014,귀화,브라질,1
2014,귀화,과테말라,1
2014,귀화,온두라스,1
2014,귀화,파라과이,1
2014,귀화,페루,6
2014,귀화,벨기에,1
2014,귀화,벨로루시,1
2014,귀화,독일,3
2014,귀화,이탈리아,1
2014,귀화,폴란드,2
2014,귀화,루마니아,1
2014,귀화,러시아연방,66
2014,귀화,한국계러시아인,19
2014,귀화,스웨덴,1
2014,귀화,우크라이나,2
2014,귀화,에티오피아,2
2014,귀화,코트디부아르,1
2014,귀화,모로코,3
2014,귀화,수단,1
2014,귀화,튀니지,1
2014,귀화,우간다,1
2014,귀화,기타소계무국적등,3
2014,국적회복,방글라데시,1
2014,국적회복,캄보디아,3
2014,국적회복,중국,132
2014,국적회복,한국계중국인,270
2014,국적회복,타이완,55
2014,국적회복,인도네시아,9
2014,국적회복,이란,4
2014,국적회복,일본,52
2014,국적회복,카자흐스탄,1
2014,국적회복,키르기스스탄,3
2014,국적회복,라오스,1
2014,국적회복,몽골,13
2014,국적회복,파키스탄,1
2014,국적회복,필리핀,8
2014,국적회복,태국,13
2014,국적회복,우즈베키스탄,16
2014,국적회복,베트남,67
2014,국적회복,캐나다,246
2014,국적회복,미국,1754
2014,국적회복,아르헨티나,9
2014,국적회복,볼리비아,1
2014,국적회복,브라질,15
2014,국적회복,코스타리카,1
2014,국적회복,에콰도르,1
2014,국적회복,온두라스,1
2014,국적회복,파라과이,8
2014,국적회복,수리남,4
2014,국적회복,베네수엘라,2
2014,국적회복,오스트리아,1
2014,국적회복,벨기에,1
2014,국적회복,영국,4
2014,국적회복,프랑스,7
2014,국적회복,독일,24
2014,국적회복,이탈리아,2
2014,국적회복,네덜란드,2
2014,국적회복,노르웨이,2
2014,국적회복,러시아연방,7
2014,국적회복,한국계러시아인,1
2014,국적회복,스페인,2
2014,국적회복,스웨덴,4
2014,국적회복,스위스,2
2014,국적회복,우크라이나,2
2014,국적회복,오스트레일리아,95
2014,국적회복,피지,5
2014,국적회복,뉴질랜드,22
2014,국적회복,중앙아프리카공화국,1
2014,국적회복,케냐,1
2014,국적회복,모로코,1
2014,국적회복,기타소계무국적등},9
2015,귀화,아프가니스탄,1
2015,귀화,방글라데시,15
2015,귀화,미얀마,6
2015,귀화,캄보디아,406
2015,귀화,스리랑카,3
2015,귀화,중국,1537
2015,귀화,한국계중국인,4940
2015,귀화,타이완,427
2015,귀화,홍콩,1
2015,귀화,인도,6
2015,귀화,인도네시아,1
2015,귀화,이란,6
2015,귀화,일본,44
2015,귀화,요르단,5
2015,귀화,카자흐스탄,5
2015,귀화,키르기스스탄,29
2015,귀화,라오스,2
2015,귀화,몽골,101
2015,귀화,네팔,70
2015,귀화,파키스탄,24
2015,귀화,필리핀,280
2015,귀화,시리아,1
2015,귀화,태국,45
2015,귀화,터키,3
2015,귀화,우즈베키스탄,81
2015,귀화,베트남,2722
2015,귀화,예멘공화국,1
2015,귀화,캐나다,5
2015,귀화,미국,6
2015,귀화,브라질,1
2015,귀화,멕시코,1
2015,귀화,페루,5
2015,귀화,알바니아,1
2015,귀화,프랑스,1
2015,귀화,한국계러시아인,38
2015,귀화,독일,2
2015,귀화,이탈리아,1
2015,귀화,몰도바,1
2015,귀화,루마니아,2
2015,귀화,러시아연방,82
2015,귀화,우크라이나,2
2015,귀화,통가,1
2015,귀화,카메룬,2
2015,귀화,에티오피아,1
2015,귀화,코트디부아르,2
2015,귀화,모로코,3
2015,귀화,나이지리아,1
2015,귀화,남아프리카공화국,1
2015,귀화,무국적,3
2015,국적회복,방글라데시,2
2015,국적회복,캄보디아,6
2015,국적회복,중국,35
2015,국적회복,한국계중국인,158
2015,국적회복,타이완,51
2015,국적회복,홍콩,1
2015,국적회복,인도네시아,8
2015,국적회복,이란,7
2015,국적회복,일본,49
2015,국적회복,카자흐스탄,1
2015,국적회복,키르기스스탄,4
2015,국적회복,몽골,10
2015,국적회복,네팔,1
2015,국적회복,필리핀,6
2015,국적회복,타지키스탄,1
2015,국적회복,태국,5
2015,국적회복,터키,1
2015,국적회복,우즈베키스탄,28
2015,국적회복,베트남,47
2015,국적회복,캐나다,297
2015,국적회복,미국,1665
2015,국적회복,아르헨티나,12
2015,국적회복,볼리비아,1
2015,국적회복,브라질,16
2015,국적회복,에콰도르,4
2015,국적회복,멕시코,2
2015,국적회복,파라과이,5
2015,국적회복,페루,1
2015,국적회복,베네수엘라,3
2015,국적회복,오스트리아,2
2015,국적회복,벨기에,1
2015,국적회복,영국,7
2015,국적회복,프랑스,7
2015,국적회복,독일,28
2015,국적회복,아일랜드,1
2015,국적회복,이탈리아,1
2015,국적회복,네덜란드,1
2015,국적회복,노르웨이,1
2015,국적회복,러시아연방,5
2015,국적회복,스페인,2
2015,국적회복,스웨덴,4
2015,국적회복,오스트레일리아,95
2015,국적회복,피지,3
2015,국적회복,뉴질랜드,17
2015,국적회복,바누아투,1
2015,국적회복,에리트레아,1
2015,국적회복,레소토,1
2015,국적회복,무국적,4
2016,귀화,아프가니스탄,1
2016,귀화,방글라데시,13
2016,귀화,미얀마,5
2016,귀화,캄보디아,476
2016,귀화,스리랑카,4
2016,귀화,중국,1632
2016,귀화,타이완,270
2016,귀화,홍콩,2
2016,귀화,한국계중국인,3494
2016,귀화,인도,2
2016,귀화,인도네시아,3
2016,귀화,이란,6
2016,귀화,이라크,1
2016,귀화,일본,35
2016,귀화,요르단,1
2016,귀화,카자흐스탄,4
2016,귀화,키르기스스탄,34
2016,귀화,라오스,6
2016,귀화,말레이시아,2
2016,귀화,몽골,107
2016,귀화,네팔,65
2016,귀화,파키스탄,33
2016,귀화,필리핀,337
2016,귀화,태국,41
2016,귀화,터키,3
2016,귀화,우즈베키스탄,62
2016,귀화,베트남,3289
2016,귀화,캐나다,2
2016,귀화,미국,7
2016,귀화,멕시코,1
2016,귀화,페루,2
2016,귀화,아르메니아,1
2016,귀화,벨기에,1
2016,귀화,불가리아,1
2016,귀화,벨로루시,2
2016,귀화,영국,2
2016,귀화,한국계러시아인,37
2016,귀화,독일,1
2016,귀화,아일랜드,1
2016,귀화,몰도바,2
2016,귀화,러시아연방,92
2016,귀화,스위스,1
2016,귀화,우크라이나,8
2016,귀화,에티오피아,3
2016,귀화,모로코,3
2016,귀화,니제르,1
2016,귀화,남아프리카공화국,1
2016,귀화,수단,2
2016,귀화,무국적,9
2016,국적회복,캄보디아,6
2016,국적회복,중국,14
2016,국적회복,타이완,27
2016,국적회복,한국계중국인,99
2016,국적회복,인도네시아,4
2016,국적회복,이란,1
2016,국적회복,일본,31
2016,국적회복,키르기스스탄,2
2016,국적회복,라오스,1
2016,국적회복,몽골,7
2016,국적회복,필리핀,3
2016,국적회복,태국,5
2016,국적회복,우즈베키스탄,19
2016,국적회복,베트남,56
2016,국적회복,캐나다,286
2016,국적회복,미국,1486
2016,국적회복,아르헨티나,9
2016,국적회복,볼리비아,2
2016,국적회복,브라질,21
2016,국적회복,칠레,1
2016,국적회복,에콰도르,1
2016,국적회복,멕시코,2
2016,국적회복,파라과이,7
2016,국적회복,페루,1
2016,국적회복,수리남,1
2016,국적회복,베네수엘라,2
2016,국적회복,벨기에,1
2016,국적회복,덴마크,1
2016,국적회복,영국,15
2016,국적회복,프랑스,1
2016,국적회복,독일,31
2016,국적회복,그리스,1
2016,국적회복,이탈리아,1
2016,국적회복,네덜란드,3
2016,국적회복,노르웨이,1
2016,국적회복,러시아연방,2
2016,국적회복,스페인,1
2016,국적회복,스웨덴,3
2016,국적회복,스위스,1
2016,국적회복,우크라이나,1
2016,국적회복,오스트레일리아,102
2016,국적회복,피지,2
2016,국적회복,뉴질랜드,31
2016,국적회복,우간다,1
2016,국적회복,무국적,10
2017,귀화,중국,4781
2017,귀화,방글라데시,29
2017,귀화,미얀마,3
2017,귀화,캄보디아,389
2017,귀화,스리랑카,3
2017,귀화,타이완,211
2017,귀화,홍콩,1
2017,귀화,인도,13
2017,귀화,인도네시아,6
2017,귀화,이란,15
2017,귀화,이라크,3
2017,귀화,일본,29
2017,귀화,요르단,3
2017,귀화,카자흐스탄,8
2017,귀화,키르기즈,22
2017,귀화,라오스,1
2017,귀화,몽골,93
2017,귀화,네팔,68
2017,귀화,파키스탄,51
2017,귀화,필리핀,359
2017,귀화,시리아,1
2017,귀화,타지키스탄,3
2017,귀화,태국,52
2017,귀화,터키,7
2017,귀화,투르크메니스탄,1
2017,귀화,우즈베키스탄,48
2017,귀화,베트남,3742
2017,귀화,캐나다,3
2017,귀화,미국,8
2017,귀화,콜롬비아,1
2017,귀화,쿠바,1
2017,귀화,과테말라,2
2017,귀화,멕시코,1
2017,귀화,러시아연방,87
2017,귀화,알바니아,3
2017,귀화,벨로루시,3
2017,귀화,영국,1
2017,귀화,프랑스,1
2017,귀화,아일랜드,1
2017,귀화,몰도바,1
2017,귀화,루마니아,1
2017,귀화,우크라이나,4
2017,귀화,알제리,1
2017,귀화,카메룬,3
2017,귀화,콩고민주공화국,1
2017,귀화,이집트,1
2017,귀화,적도기니,1
2017,귀화,에티오피아,3
2017,귀화,마다가스카르,1
2017,귀화,모로코,3
2017,귀화,니제르,1
2017,귀화,나이지리아,1
2017,귀화,기타,10
2017,국적회복,중국,245
2017,국적회복,캄보디아,4
2017,국적회복,타이완,36
2017,국적회복,홍콩,1
2017,국적회복,인도네시아,10
2017,국적회복,이란,3
2017,국적회복,일본,38
2017,국적회복,카자흐스탄,1
2017,국적회복,키르기즈,1
2017,국적회복,말레이시아,1
2017,국적회복,몽골,17
2017,국적회복,필리핀,7
2017,국적회복,태국,4
2017,국적회복,터키,1
2017,국적회복,우즈베키스탄,27
2017,국적회복,베트남,57
2017,국적회복,캐나다,356
2017,국적회복,미국,1655
2017,국적회복,아르헨티나,10
2017,국적회복,볼리비아,1
2017,국적회복,브라질,30
2017,국적회복,과테말라,1
2017,국적회복,멕시코,4
2017,국적회복,파나마,1
2017,국적회복,파라과이,5
2017,국적회복,베네수엘라,1
2017,국적회복,러시아연방,7
2017,국적회복,오스트리아,2
2017,국적회복,벨기에,3
2017,국적회복,덴마크,1
2017,국적회복,영국,10
2017,국적회복,프랑스,5
2017,국적회복,독일,43
2017,국적회복,그리스,1
2017,국적회복,이탈리아,2
2017,국적회복,네덜란드,2
2017,국적회복,포르투갈,2
2017,국적회복,스페인,4
2017,국적회복,스웨덴,2
2017,국적회복,스위스,3
2017,국적회복,우크라이나,1
2017,국적회복,오스트레일리아,112
2017,국적회복,피지,6
2017,국적회복,뉴질랜드,35
2017,국적회복,카메룬,1
2017,국적회복,케냐,1
2017,국적회복,레소토,1
2017,국적회복,마다가스카르,1
2017,국적회복,남아프리카공화국,2
2017,국적회복,기타,11
2018,귀화,아프가니스탄,1
2018,귀화,방글라데시,31
2018,귀화,미얀마,6
2018,귀화,캄보디아,428
2018,귀화,스리랑카,1
2018,귀화,중국,4838
2018,귀화,타이완,223
2018,귀화,홍콩,3
2018,귀화,인도,3
2018,귀화,인도네시아,3
2018,귀화,이란,8
2018,귀화,이라크,2
2018,귀화,일본,17
2018,귀화,요르단,2
2018,귀화,카자흐스탄,17
2018,귀화,키르기즈,31
2018,귀화,라오스,7
2018,귀화,말레이시아,1
2018,귀화,몽골,99
2018,귀화,네팔,84
2018,귀화,파키스탄,42
2018,귀화,필리핀,597
